categorie,kw,volume,tld,hl,serpFeature,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
activité,course d’orientation Vercors,0,fr,fr,"ImagePack (1636), PeolpleAlsoAsked (969)",https://piedvert.com/orientation-montagne,184,..,+,,10,11,9,10,9,9,12,10,10,10,10,10,12,13,11,11,11,11,14,13
territoire,refuge vercors,110,fr,fr,"Ads (2858), ImagePack (2343)",https://piedvert.com/refuge-vercors,1086,..,=,,5,5,9,5,8,5,6,6,8,9,8,8,8,6,8,9,9,9,9,7
rando,rando facile vercors,10,fr,fr,PeolpleAlsoAsked (888),https://piedvert.com/rando-vercors-famille,186,..,+,,9,12,11,10,11,10,14,16,15,13,15,16,12,13,15,11,12,13,14,14
métier + territoire,accompagnateur vercors,20,fr,fr,Local Pack (897),https://piedvert.com/,184,..,=,,5,5,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,4,5,5
rando – vercors,grand veymont,1900,fr,fr,"ImagePack (783), KnowledgePanel (1103), PeolpleAlsoAsked (0)",https://piedvert.com/grand-veymont-facile,184,..,=,,10,10,13,8,10,9,15,18,30,-1,-1,-1,-1,,,,,,,
rando – bivouac,matériel bivouac montagne,0,fr,fr,"Ads (176), PeolpleAlsoAsked (979)",https://piedvert.com/equipement-bivouac,585,..,+,,8,9,16,24,15,16,-1,-1,-1,-1,102,-1,92,,,,,,,
rando – bivouac,bivouac vercors,140,fr,fr,"Local Pack (790), PeolpleAlsoAsked (323)",https://piedvert.com/bivouac-vercors,184,..,-,,6,3,4,3,4,3,4,4,4,4,4,4,4,8,6,10,10,13,13,15
activité – neige,bivouac vercors neige,0,fr,fr,"PositionZero (176), PeolpleAlsoAsked (1680), Video (562)",https://piedvert.com/igloo,343,..,=,,9,9,8,10,8,9,18,18,16,12,11,10,10,10,9,9,12,11,13,12
rando – vercors,plateau de la molière,170,fr,fr,"Local Pack (790), PositionZero (218), Video (2875)",https://piedvert.com/moliere,0,..,-,,8,7,10,2,10,8,8,8,8,8,10,17,17,14,14,-1,-1,-1,-1,
rando – vercors,randonnée grand veymont,110,fr,fr,"Local Pack (777), PeolpleAlsoAsked (1487)",https://piedvert.com/grand-veymont-facile,186,..,+,,7,8,9,11,12,13,13,15,41,-1,,,,,,,,,,
entreprise,séminaire vercors,10,fr,fr,Ads (182),https://piedvert.com/team-building,1286,..,+,,7,9,21,20,21,21,21,26,27,26,26,23,27,26,31,26,29,37,49,-1
